workerid,proliferate.condition,adj,adj_tr,label,object,response,rt,slide_number_in_experiment,trial_type,error
903,condition1,,,,beyaz,Beyaz,0,1,bot_check,
903,condition1,black and white,siyah beyaz,picture_bw_rectangular,picture,[0],18214,3,,
903,condition1,plastic,plastik,bottle_plastic_big,bottle,[0.78],10927,4,,
903,condition1,green,yeşil,frog_spotted_green,frog,[0.66],3901,5,,
903,condition1,dry,kuru,shorts_dry_green,shorts,[0.8],5144,6,,
903,condition1,short,kısa,pencil_short_black,pencil,[1],3418,7,,
903,condition1,glasses-wearing,gözlüklü,man2_bearded_glassed,man,[0.02],3304,8,,
903,condition1,mustache-touting,bıyıklı,man2_mustached_glassed,man,[0],2816,9,,
903,condition1,red,kırmızı,frog_spotted_red,frog,[0.88],4732,10,,
903,condition1,blond,sarı,hair_curly_blonde,hair,[0.9],3587,11,,
903,condition1,open,açık,box_open_cardboard,box,[0.87],3265,12,,
903,condition1,big,büyük,bottle_glass_big,bottle,[0.95],2677,13,,
903,condition1,wooden,tahta,spoon_wooden_clean,spoon,[0],2700,14,,
903,condition1,glass,cam,bottle_glass_big,bottle,[0.87],3178,15,,
903,condition1,small,küçük,bottle_glass_small,bottle,[1],2993,16,,
903,condition1,round,yuvarlak,earring_big_round,earring,[0.85],3785,17,,
903,condition1,low,alçak,table_metal_low,table,[0.87],2539,18,,
903,condition1,bearded,sakallı,man_old_bearded,man,[0.02],3230,19,,
903,condition1,blue,mavi,pencil_long_blue,pencil,[0.86],2615,20,,
903,condition1,hat-wearing,şapkalı,man2_bearded_hatted,man,[0],2845,21,,
903,condition1,metal,metal,spoon_metal_clean,spoon,[0.56],4536,22,,
903,condition1,happy,mutlu,woman_old_happy,woman,[0.96],3572,23,,
903,condition1,straight,düz,hair_straight_blond,hair,[0.59],2949,24,,
903,condition1,colored,renkli,picture_colored_rectangular,picture,[0.61],4102,25,,
903,condition1,sad,mutsuz,woman_old_sad,woman,[0.87],2446,26,,
903,condition1,fat,şişman,woman2_happy_fat,woman,[0.98],2524,27,,
903,condition1,high,yüksek,table_metal_high,table,[0.9],1901,28,,
903,condition1,black,siyah,nails_black_glossy,nails,[0.94],2008,29,,
903,condition1,old,yaşlı,man_old_bearded,man,[0.92],2749,30,,
903,condition1,matte,mat,nails_black_matte,nails,[0.65],2511,31,,
903,condition1,clean-shaven,sakalsız,man_old_cleanshaven,man,[0],3037,32,,
903,condition1,triangular,üçgen,earring_big_triangular,earring,[0.03],3091,33,,
903,condition1,square,kare,picture_bw_square,picture,[0.01],1928,34,,
903,condition1,long,uzun,pencil_long_black,pencil,[0.72],2041,35,,
903,condition1,spotted,benekli,frog_spotted_green,frog,[0.02],3323,36,,
903,condition1,young,genç,man_young_bearded,man,[0.88],2451,37,,
903,condition1,striped,çizgili,frog_striped_green,frog,[0],2941,38,,
903,condition1,cardboard,karton,box_closed_cardboard,box,[0.02],2181,39,,
903,condition1,skinny,zayıf,woman2_happy_skinny,woman,[0.91],2097,40,,
903,condition1,glossy,parlak,nails_black_glossy,nails,[0.54],2836,41,,
903,condition1,closed,kapalı,box_closed_cardboard,box,[0.62],2339,42,,
903,condition1,brown,kahverengi,hair_curly_brown,hair,[0.62],2676,43,,
903,condition1,rectangular,dikdörtgen,picture_bw_rectangular,picture,[0.02],3781,44,,
903,condition1,clean,temiz,spoon_metal_clean,spoon,[0.64],2438,45,,
903,condition1,curly,kıvırcık,hair_curly_blonde,hair,[0.08],3825,46,,
903,condition1,dirty,kirli,spoon_metal_dirty,spoon,[0.55],2865,47,,
903,condition1,wet,ıslak,shorts_wet_green,shorts,[0.59],1840,48,,
943,condition1,,,,beyaz,beyaz,0,1,bot_check,
943,condition1,high,yüksek,table_metal_high,table,[0.67],19330,3,,
943,condition1,blond,sarı,hair_curly_blonde,hair,[0.15],9824,4,,
943,condition1,long,uzun,pencil_long_black,pencil,[0.77],3588,5,,
943,condition1,clean-shaven,sakalsız,man_old_cleanshaven,man,[0.25],5568,6,,
943,condition1,striped,çizgili,frog_striped_green,frog,[0.37],7592,7,,
943,condition1,cardboard,karton,box_closed_cardboard,box,[0.02],6743,8,,
943,condition1,red,kırmızı,frog_spotted_red,frog,[0.62],6654,9,,
943,condition1,glasses-wearing,gözlüklü,man2_bearded_glassed,man,[0],7257,10,,
943,condition1,closed,kapalı,box_closed_cardboard,box,[0.03],4561,11,,
943,condition1,colored,renkli,picture_colored_rectangular,picture,[0],5815,12,,
943,condition1,glass,cam,bottle_glass_big,bottle,[0],2117,13,,
943,condition1,square,kare,picture_bw_square,picture,[0],3783,14,,
943,condition1,dry,kuru,shorts_dry_green,shorts,[0.64],6301,15,,
943,condition1,hat-wearing,şapkalı,man2_bearded_hatted,man,[0.01],2645,16,,
943,condition1,straight,düz,hair_straight_blond,hair,[0.52],3360,17,,
943,condition1,triangular,üçgen,earring_big_triangular,earring,[0],3700,18,,
943,condition1,small,küçük,bottle_glass_small,bottle,[0.82],19496,19,,
943,condition1,mustache-touting,bıyıklı,man2_mustached_glassed,man,[0.03],2460,20,,
943,condition1,metal,metal,spoon_metal_clean,spoon,[0.15],2324,21,,
943,condition1,sad,mutsuz,woman_old_sad,woman,[0.69],6892,22,,
943,condition1,dirty,kirli,spoon_metal_dirty,spoon,[0.53],2429,23,,
943,condition1,spotted,benekli,frog_spotted_green,frog,[0.3],2770,24,,
943,condition1,open,açık,box_open_cardboard,box,[0.25],2949,25,,
943,condition1,rectangular,dikdörtgen,picture_bw_rectangular,picture,[0.08],2439,26,,
943,condition1,blue,mavi,pencil_long_blue,pencil,[0.55],3503,27,,
943,condition1,brown,kahverengi,hair_curly_brown,hair,[0.51],1842,28,,
943,condition1,matte,mat,nails_black_matte,nails,[0.47],4096,29,,
943,condition1,short,kısa,pencil_short_black,pencil,[0.77],6000,30,,
943,condition1,young,genç,man_young_bearded,man,[0.66],2220,31,,
943,condition1,plastic,plastik,bottle_plastic_big,bottle,[0.16],3354,32,,
943,condition1,old,yaşlı,man_old_bearded,man,[0.65],2603,33,,
943,condition1,glossy,parlak,nails_black_glossy,nails,[0.67],5353,34,,
943,condition1,black and white,siyah beyaz,picture_bw_rectangular,picture,[0.51],6582,35,,
943,condition1,black,siyah,nails_black_glossy,nails,[0.5],2874,36,,
943,condition1,happy,mutlu,woman_old_happy,woman,[0.77],2950,37,,
943,condition1,green,yeşil,frog_spotted_green,frog,[0.53],4980,38,,
943,condition1,clean,temiz,spoon_metal_clean,spoon,[0.7],5705,39,,
943,condition1,skinny,zayıf,woman2_happy_skinny,woman,[0.82],2282,40,,
943,condition1,bearded,sakallı,man_old_bearded,man,[0.08],3642,41,,
943,condition1,curly,kıvırcık,hair_curly_blonde,hair,[0.42],2553,42,,
943,condition1,wet,ıslak,shorts_wet_green,shorts,[0.74],2420,43,,
943,condition1,big,büyük,bottle_glass_big,bottle,[0.72],4035,44,,
943,condition1,round,yuvarlak,earring_big_round,earring,[0.14],3889,45,,
943,condition1,wooden,tahta,spoon_wooden_clean,spoon,[0.17],4124,46,,
943,condition1,low,alçak,table_metal_low,table,[0.89],1901,47,,
943,condition1,fat,şişman,woman2_happy_fat,woman,[0.86],1909,48,,
888,condition1,,,,beyaz,beyaz,0,1,bot_check,
888,condition1,round,yuvarlak,earring_big_round,earring,[0.47],12280,3,,
888,condition1,low,alçak,table_metal_low,table,[0.45],9471,4,,
888,condition1,sad,mutsuz,woman_old_sad,woman,[0.46],5565,5,,
888,condition1,long,uzun,pencil_long_black,pencil,[0.31],2918,6,,
888,condition1,blond,sarı,hair_curly_blonde,hair,[0.51],1721,7,,
888,condition1,open,açık,box_open_cardboard,box,[0.36],1596,8,,
888,condition1,dry,kuru,shorts_dry_green,shorts,[0.53],2773,9,,
888,condition1,wet,ıslak,shorts_wet_green,shorts,[0.51],3317,10,,
888,condition1,bearded,sakallı,man_old_bearded,man,[0.54],2995,11,,
888,condition1,big,büyük,bottle_glass_big,bottle,[0.47],8310,12,,
888,condition1,plastic,plastik,bottle_plastic_big,bottle,[0.47],4516,13,,
888,condition1,metal,metal,spoon_metal_clean,spoon,[0.49],1672,14,,
888,condition1,glasses-wearing,gözlüklü,man2_bearded_glassed,man,[0.46],1644,15,,
888,condition1,glass,cam,bottle_glass_big,bottle,[0.46],6126,16,,
888,condition1,happy,mutlu,woman_old_happy,woman,[0.37],2526,17,,
888,condition1,matte,mat,nails_black_matte,nails,[0.03],8191,18,,
888,condition1,black,siyah,nails_black_glossy,nails,[0.11],3283,19,,
888,condition1,wooden,tahta,spoon_wooden_clean,spoon,[0.09],2988,20,,
888,condition1,clean-shaven,sakalsız,man_old_cleanshaven,man,[0.03],30454,21,,
888,condition1,short,kısa,pencil_short_black,pencil,[0.09],2947,22,,
888,condition1,clean,temiz,spoon_metal_clean,spoon,[0.19],3983,23,,
888,condition1,brown,kahverengi,hair_curly_brown,hair,[0.25],3157,24,,
888,condition1,fat,şişman,woman2_happy_fat,woman,[0.99],6676,25,,
888,condition1,mustache-touting,bıyıklı,man2_mustached_glassed,man,[0.04],2731,26,,
888,condition1,skinny,zayıf,woman2_happy_skinny,woman,[0.98],2500,27,,
888,condition1,closed,kapalı,box_closed_cardboard,box,[0.08],9651,28,,
888,condition1,square,kare,picture_bw_square,picture,[0.55],50429,29,,
888,condition1,hat-wearing,şapkalı,man2_bearded_hatted,man,[0.47],17442,30,,
888,condition1,dirty,kirli,spoon_metal_dirty,spoon,[0.75],12873,31,,
888,condition1,glossy,parlak,nails_black_glossy,nails,[0.74],5480,32,,
888,condition1,red,kırmızı,frog_spotted_red,frog,[0.62],2214,33,,
888,condition1,spotted,benekli,frog_spotted_green,frog,[0.29],3163,34,,
888,condition1,rectangular,dikdörtgen,picture_bw_rectangular,picture,[0.07],2395,35,,
888,condition1,small,küçük,bottle_glass_small,bottle,[0.06],2128,36,,
888,condition1,cardboard,karton,box_closed_cardboard,box,[0.1],4532,37,,
888,condition1,straight,düz,hair_straight_blond,hair,[0.43],4223,38,,
888,condition1,triangular,üçgen,earring_big_triangular,earring,[0.07],4916,39,,
888,condition1,old,yaşlı,man_old_bearded,man,[0.76],19999,40,,
888,condition1,black and white,siyah beyaz,picture_bw_rectangular,picture,[0.05],3656,41,,
888,condition1,green,yeşil,frog_spotted_green,frog,[0.05],2521,42,,
888,condition1,young,genç,man_young_bearded,man,[0.84],3265,43,,
888,condition1,curly,kıvırcık,hair_curly_blonde,hair,[0.71],61648,44,,
888,condition1,colored,renkli,picture_colored_rectangular,picture,[0.09],5693,45,,
888,condition1,blue,mavi,pencil_long_blue,pencil,[0.45],32400,46,,
888,condition1,striped,çizgili,frog_striped_green,frog,[0.46],3136,47,,
888,condition1,high,yüksek,table_metal_high,table,[0.83],4176,48,,
894,condition1,,,,beyaz,Beyaz,0,1,bot_check,
894,condition1,metal,metal,spoon_metal_clean,spoon,[0.25],13030,3,,
894,condition1,red,kırmızı,frog_spotted_red,frog,[0.45],12870,4,,
894,condition1,glossy,parlak,nails_black_glossy,nails,[0.02],5041,5,,
894,condition1,cardboard,karton,box_closed_cardboard,box,[0.65],6602,6,,
894,condition1,young,genç,man_young_bearded,man,[0.16],9131,7,,
894,condition1,brown,kahverengi,hair_curly_brown,hair,[0.68],6182,8,,
894,condition1,long,uzun,pencil_long_black,pencil,[0.01],4783,9,,
894,condition1,clean-shaven,sakalsız,man_old_cleanshaven,man,[0.02],8465,10,,
894,condition1,hat-wearing,şapkalı,man2_bearded_hatted,man,[0.05],5572,11,,
894,condition1,dry,kuru,shorts_dry_green,shorts,[0.24],6314,12,,
894,condition1,old,yaşlı,man_old_bearded,man,[0.26],6618,13,,
894,condition1,wooden,tahta,spoon_wooden_clean,spoon,[0.07],11234,14,,
894,condition1,glasses-wearing,gözlüklü,man2_bearded_glassed,man,[0.02],6364,15,,
894,condition1,closed,kapalı,box_closed_cardboard,box,[0.19],6587,16,,
894,condition1,sad,mutsuz,woman_old_sad,woman,[0.83],23732,17,,
894,condition1,rectangular,dikdörtgen,picture_bw_rectangular,picture,[0.11],9081,18,,
894,condition1,happy,mutlu,woman_old_happy,woman,[0.89],5367,19,,
894,condition1,black,siyah,nails_black_glossy,nails,[0.07],6200,20,,
894,condition1,triangular,üçgen,earring_big_triangular,earring,[0.04],5120,21,,
894,condition1,small,küçük,bottle_glass_small,bottle,[0.25],4782,22,,
894,condition1,open,açık,box_open_cardboard,box,[0.23],7051,23,,
894,condition1,blue,mavi,pencil_long_blue,pencil,[0.05],6784,24,,
894,condition1,glass,cam,bottle_glass_big,bottle,[0.14],4999,25,,
894,condition1,green,yeşil,frog_spotted_green,frog,[0.04],6801,26,,
894,condition1,blond,sarı,hair_curly_blonde,hair,[0.19],7966,27,,
894,condition1,clean,temiz,spoon_metal_clean,spoon,[0.05],6601,28,,
894,condition1,spotted,benekli,frog_spotted_green,frog,[0],4447,29,,
894,condition1,colored,renkli,picture_colored_rectangular,picture,[0.05],7816,30,,
894,condition1,skinny,zayıf,woman2_happy_skinny,woman,[0.38],7585,31,,
894,condition1,matte,mat,nails_black_matte,nails,[0.21],8483,32,,
894,condition1,square,kare,picture_bw_square,picture,[0.09],7267,33,,
894,condition1,black and white,siyah beyaz,picture_bw_rectangular,picture,[0.14],7967,34,,
894,condition1,high,yüksek,table_metal_high,table,[0.49],6083,35,,
894,condition1,round,yuvarlak,earring_big_round,earring,[0.06],4437,36,,
894,condition1,low,alçak,table_metal_low,table,[0.5],6697,37,,
894,condition1,plastic,plastik,bottle_plastic_big,bottle,[0.11],7999,38,,
894,condition1,fat,şişman,woman2_happy_fat,woman,[0.11],7235,39,,
894,condition1,bearded,sakallı,man_old_bearded,man,[0.01],8614,40,,
894,condition1,straight,düz,hair_straight_blond,hair,[0.06],4485,41,,
894,condition1,big,büyük,bottle_glass_big,bottle,[0.33],6034,42,,
894,condition1,wet,ıslak,shorts_wet_green,shorts,[0.16],5031,43,,
894,condition1,striped,çizgili,frog_striped_green,frog,[0.02],3850,44,,
894,condition1,short,kısa,pencil_short_black,pencil,[0.01],4402,45,,
894,condition1,dirty,kirli,spoon_metal_dirty,spoon,[0.02],3665,46,,
894,condition1,mustache-touting,bıyıklı,man2_mustached_glassed,man,[0.01],3584,47,,
894,condition1,curly,kıvırcık,hair_curly_blonde,hair,[0.12],5399,48,,
908,condition1,,,,beyaz,Beyaz,0,1,bot_check,
908,condition1,glossy,parlak,nails_black_glossy,nails,[0.64],5009,3,,
908,condition1,straight,düz,hair_straight_blond,hair,[0.66],2447,4,,
908,condition1,matte,mat,nails_black_matte,nails,[0.61],1937,5,,
908,condition1,closed,kapalı,box_closed_cardboard,box,[0.01],2736,6,,
908,condition1,mustache-touting,bıyıklı,man2_mustached_glassed,man,[0.02],2387,7,,
908,condition1,glass,cam,bottle_glass_big,bottle,[0.15],3805,8,,
908,condition1,skinny,zayıf,woman2_happy_skinny,woman,[0.96],2041,9,,
908,condition1,black and white,siyah beyaz,picture_bw_rectangular,picture,[0.87],3154,10,,
908,condition1,plastic,plastik,bottle_plastic_big,bottle,[0.09],1977,11,,
908,condition1,square,kare,picture_bw_square,picture,[0.02],1965,12,,
908,condition1,short,kısa,pencil_short_black,pencil,[0.63],2193,13,,
908,condition1,cardboard,karton,box_closed_cardboard,box,[0.07],2966,14,,
908,condition1,long,uzun,pencil_long_black,pencil,[0.7],1836,15,,
908,condition1,blue,mavi,pencil_long_blue,pencil,[0.82],3359,16,,
908,condition1,striped,çizgili,frog_striped_green,frog,[0.04],3532,17,,
908,condition1,round,yuvarlak,earring_big_round,earring,[0.02],1936,18,,
908,condition1,open,açık,box_open_cardboard,box,[0.1],2535,19,,
908,condition1,high,yüksek,table_metal_high,table,[0.73],2070,20,,
